Plant Disease,Cure
Powdery Mildew,"Application of fungicides such as sulfur, neem oil"
Downy Mildew,"Copper-based fungicides, improving air circulation"
Late Blight,"Application of fungicides like chlorothalonil, crop rotation"
Early Blight,"Copper fungicide, removing infected leaves"
Rust,"Fungicides like mancozeb, improving air circulation"
Anthracnose,"Application of copper-based fungicides, pruning infected areas"
Black Spot,"Sulfur or copper-based fungicides, removing affected leaves"
Verticillium Wilt,"Crop rotation, using resistant plant varieties"
Fusarium Wilt,"Soil fumigation, resistant plant varieties"
Root Rot,"Improving drainage, applying fungicides"
Bacterial Blight,"Copper-based bactericides, removing infected plants"
Bacterial Wilt,"Crop rotation, resistant plant varieties"
Fire Blight,"Pruning infected areas, applying copper bactericides"
Citrus Canker,"Copper-based bactericides, removing infected fruit"
Tomato Spotted Wilt Virus,"Using resistant varieties, controlling insect vectors"
Mosaic Virus,"Using resistant varieties, controlling aphid population"
Leaf Curl,"Using insecticides to control vectors, resistant varieties"
Gray Mold,"Application of fungicides like fenhexamid, improving air circulation"
Botrytis Blight,"Application of fungicides, removing infected plant parts"
Clubroot,"Lime application to raise soil pH, crop rotation"
Scab,"Using resistant varieties, copper-based fungicides"
Leaf Spot,"Fungicides like mancozeb, removing infected leaves"
Blossom End Rot,"Calcium supplementation, consistent watering"
Damping Off,"Improving drainage, fungicide seed treatment"
Smut,"Using resistant varieties, seed treatment with fungicides"
Yellowing,"Improving soil nutrition, consistent watering"
Wilting,"Improving irrigation, disease-resistant varieties"
Gummosis,"Improving drainage, pruning affected areas"
Sooty Mold,"Controlling insect pests, washing off mold with water"
Crown Gall,"Removal of infected plants, using clean tools"
Root Knot Nematode,"Using resistant varieties, soil solarization"
Spider Mites,"Insecticidal soap, releasing beneficial predators"
Aphid Infestation,"Insecticidal soap, introducing ladybugs"
Whitefly Infestation,"Yellow sticky traps, insecticidal soap"
Scale Insects,"Horticultural oil, pruning affected areas"
Leaf Miner,"Neem oil, removing affected leaves"
Canker,"Pruning affected branches, applying copper fungicides"
Phytophthora,"Improving soil drainage, applying fungicides"
Alternaria Leaf Spot,Application of fungicides like chlorothalonil
Septoria Leaf Spot,"Removing infected leaves, applying fungicides"
Grapevine Trunk Disease,"Pruning infected areas, applying fungicides"
Apple Scab,"Fungicide application, removing infected fruit"
Peach Leaf Curl,"Copper fungicides, removing affected leaves"
Shot Hole Disease,"Copper-based fungicides, removing affected leaves"
